ID_Helper,ID_Objectif,ID_Localite,ID_Tache,Designation,Qte_Prevue,Taches,Poids,Qte_Realisee,Taux_Realisation,Qte_Prevue_Total,Avancement_Pondere,Localite,Nom_Geo_1,Categorie
HC-123,e92ae43c,ATA_Nat_07,P2AE_IACM,IACM,1.0,IACM,0.0833,0.0,0.0,1.0,0.0,Boriyouré,ATACORA,Travaux HTA
HC-124,c25ae340,ATA_Nat_07,P2AE_TFO,Transformateur 160 kVA,1.0,TFO,0.1667,0.0,0.0,1.0,0.0,Boriyouré,ATACORA,Travaux HTA
HC-125,9211fce7,ATA_Nat_07,P2AE_EP,EP,40.0,EP,0.1556,0.0,0.0,40.0,0.0,Boriyouré,ATACORA,Travaux BT
HC-126,e6307f93,ATA_Nat_07,P2AE_Terre,Mise à la terre,31.0,Terre,0.0667,0.0,0.0,31.0,0.0,Boriyouré,ATACORA,Travaux BT
HC-127,2868d5de,ATA_Nat_07,P2AE_Fouille_HTA,Fouille réseau haute tension,14.0,Fouille_HTA,0.0333,0.0,0.0,14.0,0.0,Boriyouré,ATACORA,Travaux HTA
HC-128,ba5a771d,ATA_Nat_07,P2AE_Fouille_BT,Fouille réseau basse tension,57.0,Fouille_BT,0.0467,56.0,0.9824561403508771,57.0,0.04588070175438596,Boriyouré,ATACORA,Travaux BT
HC-129,f4d3039c,ATA_Nat_08,P2AE_PBA_BT,PBA 9A200,97.0,PBA_BT,0.42,97.0,1.0,202.0,0.20168316831683167,Ouroubonna,ATACORA,Travaux BT
HC-130,8f0a6802,ATA_Nat_08,P2AE_PBA_BT,PBA 9A650,81.0,PBA_BT,0.42,83.0,1.0,202.0,0.16841584158415843,Ouroubonna,ATACORA,Travaux BT
HC-131,1b18d358,ATA_Nat_08,P2AE_PBA_BT,PBA 9C650,23.0,PBA_BT,0.42,24.0,1.0,202.0,0.04782178217821782,Ouroubonna,ATACORA,Travaux BT
HC-132,d2165126,ATA_Nat_08,P2AE_PBA_BT,PBA 9C800,1.0,PBA_BT,0.42,0.0,0.0,202.0,0.0,Ouroubonna,ATACORA,Travaux BT
HC-133,0a910279,ATA_Nat_08,P2AE_PBA_HTA,PBA 11A1250,1.0,PBA_HTA,0.3,1.0,1.0,4.0,0.075,Ouroubonna,ATACORA,Travaux HTA
HC-134,b0d817af,ATA_Nat_08,P2AE_PBA_HTA,PBA 12A800,1.0,PBA_HTA,0.3,1.0,1.0,4.0,0.075,Ouroubonna,ATACORA,Travaux HTA
HC-135,c5fd7678,ATA_Nat_08,P2AE_PBA_HTA,PBA 13C800,1.0,PBA_HTA,0.3,1.0,1.0,4.0,0.075,Ouroubonna,ATACORA,Travaux HTA
